Gene,Non-unique Gene name,Annotation,No. isolates
Cluster_11941,,,752
Cluster_20954,,,752
Cluster_19942,,,752
Cluster_19552,,,752
Cluster_15872,,,752
Cluster_10556,,,752
Cluster_16702,,,752
Cluster_10596,,,752
Cluster_19045,,,752
Cluster_16769,,,752
Cluster_14379,,,752
Cluster_15796,,,752
Cluster_19259,,,752
Cluster_22525,,,752
Cluster_6851,,,752
Cluster_16548,,,752
Cluster_14253,,,752
Cluster_7144,,,752
Cluster_14919,,,752
Cluster_7886,,,752
Cluster_9039,,,752
Cluster_19950,,,752
Cluster_9912,,,752
Cluster_20044,,,752
Cluster_15105,,,752
Cluster_16538,,,752
Cluster_8742,,,752
Cluster_21504,,,752
Cluster_10168,,,752
Cluster_13272,,,752
Cluster_15742,,,752
Cluster_12144,,,752
Cluster_5354,,,752
Cluster_13834,,,752
Cluster_22010,,,752
Cluster_20544,,,752
Cluster_7657,,,752
Cluster_9500,,,752
Cluster_5594,,,752
Cluster_20649,,,752
Cluster_14074,,,752
Cluster_5075,,,752
Cluster_11758,,,752
Cluster_7773,,,752
Cluster_11103,,,752
Cluster_16104,,,752
Cluster_9070,,,752
Cluster_14786,,,752
Cluster_20038,,,752
Cluster_14132,,,752
Cluster_20248,,,752
Cluster_16399,,,752
Cluster_17013,,,752
Cluster_15740,,,752
Cluster_14140,,,752
Cluster_14143,,,752
Cluster_21142,,,752
Cluster_17006,,,752
Cluster_19655,,,752
Cluster_15000,,,752
Cluster_17189,,,752
Cluster_17953,,,752
Cluster_21658,,,752
Cluster_18314,,,752
Cluster_6552,,,752
Cluster_15421,,,752
Cluster_18222,,,752
Cluster_10761,,,752
Cluster_10447,,,752
Cluster_17613,,,752
Cluster_22014,,,752
Cluster_20853,,,752
Cluster_16195,,,752
Cluster_11654,,,752
Cluster_11092,,,752
Cluster_17096,,,752
Cluster_18017,,,752
Cluster_11939,,,752
Cluster_13089,,,752
Cluster_22510,,,752
Cluster_19047,,,752
Cluster_13579,,,752
Cluster_18964,,,752
Cluster_14548,,,752
Cluster_17855,,,752
Cluster_22384,,,752
Cluster_15288,,,752
Cluster_17443,,,752
Cluster_17941,,,752
Cluster_10293,,,752
Cluster_22522,,,752
Cluster_9109,,,752
Cluster_14130,,,752
Cluster_19556,,,752
Cluster_19558,,,752
Cluster_12075,,,752
Cluster_18228,,,752
Cluster_4788,,,752
Cluster_15551,,,752
Cluster_17369,,,752
Cluster_10294,,,752
Cluster_19753,,,752
Cluster_10446,,,752
Cluster_17757,,,752
Cluster_10922,,,752
Cluster_14012,,,752
Cluster_5498,,,752
Cluster_8309,,,752
Cluster_11828,,,752
Cluster_17188,,,752
Cluster_19546,,,752
Cluster_16764,,,752
Cluster_15960,,,752
Cluster_8403,,,752
Cluster_21643,,,752
Cluster_14251,,,752
Cluster_21167,,,752
Cluster_4385,,,752
Cluster_22512,,,752
Cluster_16323,,,752
Cluster_20145,,,752
Cluster_16103,,,751
Cluster_18787,,,751
Cluster_11883,,,751
Cluster_14377,,,751
Cluster_9051,,,751
Cluster_18420,,,751
Cluster_11657,,,751
Cluster_10757,,,751
Cluster_20939,,,751
Cluster_6016,,,751
Cluster_19050,,,751
Cluster_18025,,,751
Cluster_7302,,,751
Cluster_17097,,,751
Cluster_10477,,,751
Cluster_5587,,,751
Cluster_13710,,,751
Cluster_15496,,,751
Cluster_17764,,,751
Cluster_21646,,,751
Cluster_13042,,,751
Cluster_9645,,,751
Cluster_10125,,,751
Cluster_11308,,,751
Cluster_22513,,,751
Cluster_17090,,,751
Cluster_21788,,,751
Cluster_16763,,,751
Cluster_22260,,,751
Cluster_15552,,,751
Cluster_19653,,,751
Cluster_17273,,,751
Cluster_6722,,,751
Cluster_18702,,,751
Cluster_21906,,,751
Cluster_16406,,,751
Cluster_8496,,,751
Cluster_17567,,,751
Cluster_15743,,,751
Cluster_12960,,,751
Cluster_16628,,,751
Cluster_8105,,,751
Cluster_16701,,,751
Cluster_17446,,,751
Cluster_9151,,,751
Cluster_16856,,,751
Cluster_18232,,,751
Cluster_16326,,,751
Cluster_18954,,,751
Cluster_5121,,,751
Cluster_7964,,,751
Cluster_12314,,,751
Cluster_10215,,,751
Cluster_17447,,,751
Cluster_20336,,,751
Cluster_12341,,,751
Cluster_11496,,,751
Cluster_18700,,,751
Cluster_21911,,,751
Cluster_19652,,,751
Cluster_19855,,,751
Cluster_11078,,,751
Cluster_14788,,,751
Cluster_12185,,,751
Cluster_2502,,,751
Cluster_21508,,,751
Cluster_22511,,,751
Cluster_11880,,,751
Cluster_9885,,,751
Cluster_15104,,,751
Cluster_10878,,,751
Cluster_12146,,,751
Cluster_19451,,,751
Cluster_3105,,,751
Cluster_13403,,,751
Cluster_19044,,,751
Cluster_11202,,,751
Cluster_13996,,,751
Cluster_11994,,,751
Cluster_8218,,,751
Cluster_15048,,,751
Cluster_18143,,,751
Cluster_20449,,,751
Cluster_9598,,,751
Cluster_22144,,,751
Cluster_14854,,,751
Cluster_12340,,,751
Cluster_19758,,,751
