"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"Cluster_7737","","","141","23","198","390","41.5929203539823","94.43099273607749","12.075098814229248","2.817020836813077e-34","6.192375203482506e-30","3.1593751038176053e-32"
"Cluster_705","","","98","3","241","410","28.908554572271388","99.27360774818402","55.57399723374827","6.55919730942673e-34","1.4418427525581838e-29","7.318998743950171e-32"
"Cluster_19857","","","133","19","206","394","39.233038348082594","95.39951573849879","13.388349514563107","6.861209786654949e-34","1.5082311353024908e-29","7.617328966174196e-32"
"Cluster_17950","","","336","285","3","128","99.11504424778761","30.99273607748184","50.30175438596491","7.803896825677964e-34","1.71545260022053e-29","8.620364825228794e-32"
"Cluster_10175","","","29","196","310","217","8.55457227138643","52.54237288135594","0.10357142857142858","8.140951642138282e-34","1.7895439899748373e-29","8.947719949874187e-32"
"Cluster_21664","","","0","113","339","300","0.0","72.63922518159806","0.0","1.5250583040641179e-33","3.352383163993744e-29","1.6678523203948975e-31"
"Cluster_1248","","","90","1","249","412","26.548672566371685","99.75786924939467","148.9156626506024","2.3578852471795527e-33","5.183103350350093e-29","2.5658927476980658e-31"
"Cluster_21640","","","310","219","29","194","91.44542772861357","46.973365617433416","9.469374901590301","3.848775012052589e-33","8.460377231494001e-29","4.167673513051232e-31"
"Cluster_14593","","","133","20","206","393","39.233038348082594","95.15738498789347","12.686650485436893","3.925444577728433e-33","8.628912270762642e-29","4.2298589562561975e-31"
"Cluster_12398","","","1","117","338","296","0.2949852507374631","71.67070217917676","0.007484954230516361","5.4683367847426745e-33","1.2020497920221347e-28","5.8636575220591935e-31"
"Cluster_7893","","","0","111","339","302","0.0","73.12348668280872","0.0","7.577889877835458e-33","1.6657717529457904e-28","8.086270645367915e-31"
"Cluster_22396","","","7","139","332","274","2.0648967551622417","66.34382566585957","0.04156193117794921","8.408768526088901e-33","1.8484154974048622e-28","8.929543465723972e-31"
"Cluster_5502","","","6","136","333","277","1.7699115044247788","67.07021791767555","0.036698463169051405","8.834226759452745e-33","1.9419397262629025e-28","9.336248683956262e-31"
"Cluster_8281","","","98","4","241","409","28.908554572271388","99.0314769975787","41.57883817427386","1.0598099815006216e-32","2.3296743013346666e-28","1.1093687149212697e-30"
"Cluster_8182","","","98","4","241","409","28.908554572271388","99.0314769975787","41.57883817427386","1.0598099815006216e-32","2.3296743013346666e-28","1.1093687149212697e-30"
"Cluster_13844","","","138","24","201","389","40.707964601769916","94.18886198547214","11.128109452736318","2.108465819204445e-32","4.634829563775211e-28","2.196601688992991e-30"
"Cluster_8638","","","87","1","252","412","25.663716814159294","99.75786924939467","142.23809523809524","4.2036089628373045e-32","9.240373222108963e-28","4.358666614202341e-30"
"Cluster_22253","","","149","32","190","381","43.95280235988201","92.25181598062953","9.337006578947369","4.7658370069319017e-32","1.0476262908637707e-27","4.918433290440238e-30"
"Cluster_9569","","","289","184","50","229","85.25073746312685","55.44794188861986","7.193586956521739","4.9296110715153114e-32","1.0836271057404957e-27","5.063678064207924e-30"
"Cluster_12586","","","331","274","8","139","97.6401179941003","33.65617433414044","20.989507299270073","1.3766654228852937e-31","3.0261859325864526e-27","1.407528340737885e-29"
"Cluster_16046","","","89","2","250","411","26.253687315634217","99.51573849878935","73.158","1.7606776884595787e-31","3.870321694771846e-27","1.79181559943141e-29"
"Cluster_17697","","","300","206","39","207","88.49557522123894","50.12106537530266","7.729648991784914","3.743236939410921e-31","8.228383440213087e-27","3.7918817696834506e-29"
"Cluster_10807","","","94","4","245","409","27.728613569321535","99.0314769975787","39.23061224489796","4.651848486058851e-31","1.0225693342054566e-26","4.690685019291085e-29"
"Cluster_8252","","","80","0","259","413","23.59882005899705","100.0","inf","6.359055246376715e-31","1.3978475242585296e-26","6.382865407573194e-29"
"Cluster_950","","","14","152","325","261","4.129793510324483","63.19612590799032","0.07396761133603239","1.610596930255348e-30","3.5404141720873057e-26","1.6092791691305936e-28"
"Cluster_11010","","","79","0","260","413","23.303834808259587","100.0","inf","1.6460169926198865e-30","3.618274553177035e-26","1.6372283046049932e-28"
"Cluster_12593","","","103","8","236","405","30.383480825958703","98.06295399515739","22.0948093220339","1.920744018992848e-30","4.222179502550078e-26","1.9018826588063415e-28"
"Cluster_5631","","","0","103","339","310","0.0","75.06053268765133","0.0","2.2591398896177048e-30","4.9660413053576385e-26","2.2269243521783134e-28"
"Cluster_3639","","","92","4","247","409","27.13864306784661","99.0314769975787","38.08502024291498","3.027482360184391e-30","6.655011724157329e-26","2.9709873768559505e-28"
"Cluster_18703","","","259","146","80","267","76.40117994100295","64.64891041162227","5.920633561643836","3.888569542826894e-30","8.547853569042079e-26","3.7990460306853683e-28"
"Cluster_13158","","","57","233","282","180","16.8141592920354","43.583535108958834","0.15615012327641312","7.744008450128277e-30","1.7022879375071979e-25","7.532247511093796e-28"
"Cluster_6600","","","193","379","146","34","56.932153392330385","8.232445520581114","0.11858893266346189","9.435840475179422e-30","2.0741864532539405e-25","9.137385256625289e-28"
"Cluster_12292","","","77","0","262","413","22.71386430678466","100.0","inf","1.0951060670830728e-29","2.407262156662011e-25","1.055816735378075e-27"
"Cluster_10442","","","143","32","196","381","42.18289085545723","92.25181598062953","8.68670280612245","1.2768786171871068e-29","2.8068345763006984e-25","1.2256919547164621e-27"
"Cluster_2296","","","309","228","30","185","91.1504424778761","44.794188861985475","8.357456140350877","1.656678521015843e-29","3.641710724897026e-25","1.5833524890856634e-27"
"Cluster_11198","","","294","201","45","212","86.72566371681415","51.3317191283293","6.890878938640133","1.7616125442235022e-29","3.8723766947121024e-25","1.6763535474944166e-27"
"Cluster_6283","","","112","14","227","399","33.03834808259587","96.61016949152543","14.061674008810572","3.15707278213594e-29","6.939877389691223e-25","2.991326461073803e-27"
"Cluster_3869","","","56","229","283","184","16.519174041297934","44.55205811138014","0.158995170274816","3.658326868651122e-29","8.041734122668896e-25","3.4513880354802126e-27"
"Cluster_9387","","","0","99","339","314","0.0","76.02905569007264","0.0","4.586511086257749e-29","1.0082068669811783e-24","4.3085763546204206e-27"
"Cluster_2683","","","245","131","94","282","72.27138643067846","68.28087167070218","5.6106870229007635","6.739618477829111e-29","1.4815029337963954e-24","6.3042678033889164e-27"
"Cluster_16932","","","91","5","248","408","26.843657817109147","98.78934624697337","29.941935483870967","9.253285696186087e-29","2.0340572617356256e-24","8.6188867022696e-27"
"Cluster_18425","","","162","48","177","365","47.78761061946903","88.37772397094432","6.959745762711864","1.1867443128691744e-28","2.6087013485490193e-24","1.1007178685860842e-26"
"Cluster_14789","","","88","4","251","409","25.958702064896755","99.0314769975787","35.84860557768924","1.237651599711851e-28","2.7206057464865907e-24","1.1431116581876431e-26"
"Cluster_7407","","","74","0","265","413","21.828908554572273","100.0","inf","1.8467822605248628e-28","4.059596765085754e-24","1.6985760523371354e-26"
"Cluster_7711","","","208","91","131","322","61.35693215339233","77.96610169491525","5.6183206106870225","2.5715123494904112e-28","5.6526984466498216e-24","2.3552910194374256e-26"
"Cluster_12098","","","105","12","234","401","30.973451327433626","97.09443099273608","14.99465811965812","4.981754962048548e-28","1.0950893757575118e-23","4.5439393184958996e-26"
"Cluster_17623","","","199","83","140","330","58.70206489675516","79.90314769975787","5.651462994836489","7.3595297728981e-28","1.6177718346784605e-23","6.685007581315952e-26"
"Cluster_16479","","","186","370","153","43","54.86725663716814","10.411622276029057","0.14128245892951774","8.86767038247775e-28","1.9492913034762588e-23","8.021774911424933e-26"
"Cluster_8662","","","57","226","282","187","16.8141592920354","45.27845036319613","0.16724722274524573","9.703742353260162e-28","2.1330766440936486e-23","8.742117393826429e-26"
"Cluster_16105","","","332","291","7","122","97.93510324483776","29.539951573849876","19.884143348060874","2.0343934744611506e-27","4.4720037355605014e-23","1.8253076471675516e-25"
"Cluster_10521","","","3","108","336","305","0.8849557522123894","73.8498789346247","0.02521494708994709","2.1366465114870186e-27","4.6967763615507646e-23","1.9092586835572213e-25"
"Cluster_209","","","242","133","97","280","71.38643067846607","67.79661016949152","5.252306022788931","4.658873016409065e-27","1.0241134664670406e-22","4.146208366263322e-25"
"Cluster_21070","","","262","160","77","253","77.28613569321534","61.25907990314769","5.380357142857143","5.201630668890099e-27","1.1434224536354215e-22","4.610574409820248e-25"
"Cluster_21794","","","260","157","79","256","76.69616519174042","61.98547215496368","5.366443602354269","5.222849073402631e-27","1.1480866833153664e-22","4.610789892832797e-25"
"Cluster_14019","","","187","74","152","339","55.16224188790561","82.08232445520581","5.635935277382646","6.43491818452247e-27","1.4145237153217294e-22","5.658094861286917e-25"
"Cluster_16246","","","56","222","283","191","16.519174041297934","46.246973365617436","0.17024798650240347","6.730813339025231e-27","1.4795673881845264e-22","5.894690789579786e-25"
