accession	message	sample_name	sample_title	bioproject_accession	organism	strain	isolate	host	isolation_source	collection_date	geo_loc_name	sample_type	altitude	biomaterial_provider	collected_by	culture_collection	depth	env_broad_scale	genotype	host_tissue_sampled	identified_by	lab_host	lat_lon	mating_type	passage_history	samp_size	serotype	serovar	specimen_voucher	temp	description
SAMN19016853	Successfully loaded	ESBL20140168	ESBL20140168		Escherichia coli	ESBL20140168			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016854	Successfully loaded	ESBL20170423	ESBL20170423		Escherichia coli	ESBL20170423			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016855	Successfully loaded	ESBL20140304	ESBL20140304		Escherichia coli	ESBL20140304			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016856	Successfully loaded	ESBL20140051	ESBL20140051		Escherichia coli	ESBL20140051			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016857	Successfully loaded	ESBL20160365	ESBL20160365		Escherichia coli	ESBL20160365			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016858	Successfully loaded	ESBL20160351	ESBL20160351		Escherichia coli	ESBL20160351			Human	2019	Denmark	Isolate			Henrik Hasman				ST58												
SAMN19016859	Successfully loaded	32153	32153		Escherichia coli	32153			Livestock	2012	France	Isolate			Jean-Yves Madec				ST58												
SAMN19016860	Successfully loaded	31479	31479		Escherichia coli	31479			Livestock	2012	France	Isolate			Jean-Yves Madec				ST58												
SAMN19016861	Successfully loaded	26497	26497		Escherichia coli	26497			Livestock	2010	France	Isolate			Jean-Yves Madec				ST58												
SAMN19016862	Successfully loaded	29817	29817		Escherichia coli	29817			Livestock	2012	France	Isolate			Jean-Yves Madec				ST58												
SAMN19016863	Successfully loaded	27116	27116		Escherichia coli	27116			Livestock	2011	France	Isolate			Jean-Yves Madec				ST58												
SAMN19016864	Successfully loaded	30372	30372		Escherichia coli	30372			Livestock	2012	France	Isolate			Jean-Yves Madec				ST58												
SAMN19016865	Successfully loaded	20098	20098		Escherichia coli	20098			Livestock	2007	France	Isolate			Jean-Yves Madec				ST58												
SAMN19016866	Successfully loaded	29184	29184		Escherichia coli	29184			Livestock	2012	France	Isolate			Jean-Yves Madec				ST58												
SAMN19016867	Successfully loaded	32205	32205		Escherichia coli	32205			Livestock	2012	France	Isolate			Jean-Yves Madec				ST58												
SAMN19016868	Successfully loaded	47711	47711		Escherichia coli	47711			Livestock	2017	France	Isolate			Jean-Yves Madec				ST58												
SAMN19016869	Successfully loaded	32068	32068		Escherichia coli	32068			Livestock	2012	France	Isolate			Jean-Yves Madec				ST58												
SAMN19016870	Successfully loaded	28137	28137		Escherichia coli	28137			Livestock	2012	France	Isolate			Jean-Yves Madec				ST58												
SAMN19016871	Successfully loaded	46149	46149		Escherichia coli	46149			Livestock	2016	France	Isolate			Jean-Yves Madec				ST58												
SAMN19016872	Successfully loaded	Vlees_ESBL_2013_0170	Vlees_ESBL_2013_0170		Escherichia coli	Vlees_ESBL_2013_0170			Livestock	2013	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016873	Successfully loaded	SafeFoodERA_ESBL_375	SafeFoodERA_ESBL_375		Escherichia coli	SafeFoodERA_ESBL_375			Livestock	2007	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016874	Successfully loaded	Vlees_ESBL_2014_1504	Vlees_ESBL_2014_1504		Escherichia coli	Vlees_ESBL_2014_1504			Livestock	2014	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016875	Successfully loaded	Vlees_ESBL_2013_1429	Vlees_ESBL_2013_1429		Escherichia coli	Vlees_ESBL_2013_1429			Livestock	2013	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016876	Successfully loaded	Vlees_ESBL_2013_1236	Vlees_ESBL_2013_1236		Escherichia coli	Vlees_ESBL_2013_1236			Livestock	2013	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016877	Successfully loaded	Vlees_ESBL_2012_133	Vlees_ESBL_2012_133		Escherichia coli	Vlees_ESBL_2012_133			Livestock	2012	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016878	Successfully loaded	SafeFoodERA_ESBL_423	SafeFoodERA_ESBL_423		Escherichia coli	SafeFoodERA_ESBL_423			Livestock	2006	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016879	Successfully loaded	E0407	E0407		Escherichia coli	E0407			Livestock	2013	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016880	Successfully loaded	SafeFoodERA_ESBL_045	SafeFoodERA_ESBL_045		Escherichia coli	SafeFoodERA_ESBL_045			Human	2009	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016881	Successfully loaded	SafeFoodERA_ESBL_101	SafeFoodERA_ESBL_101		Escherichia coli	SafeFoodERA_ESBL_101			Human	2009	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016882	Successfully loaded	SafeFoodERA_ESBL_097	SafeFoodERA_ESBL_097		Escherichia coli	SafeFoodERA_ESBL_097			Human	2009	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016883	Successfully loaded	ESBL_Ecoli_2.64	ESBL_Ecoli_2.64		Escherichia coli	ESBL_Ecoli_2.64			Livestock	2014	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016884	Successfully loaded	OT_ESBL_1040	OT_ESBL_1040		Escherichia coli	OT_ESBL_1040			Livestock	2012	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016885	Successfully loaded	OT_ESBL_0359	OT_ESBL_0359		Escherichia coli	OT_ESBL_0359			Livestock	2011	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016886	Successfully loaded	OT_ESBL_0441	OT_ESBL_0441		Escherichia coli	OT_ESBL_0441			Livestock	2011	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016887	Successfully loaded	ESBL_Ecoli_4.03	ESBL_Ecoli_4.03		Escherichia coli	ESBL_Ecoli_4.03			Livestock	2014	Netherlands	Isolate			Mike Brouwer				ST58												
SAMN19016888	Successfully loaded	SafeFoodERA_ESBL_582	SafeFoodERA_ESBL_582		Escherichia coli	SafeFoodERA_ESBL_582			Livestock	2008	United Kingdom	Isolate			Mike Brouwer				ST58												
SAMN19016889	Successfully loaded	2203	2203		Escherichia coli	2203			Wild Animal	2012	Canada	Isolate			Monika Dolejska				ST58												
SAMN19016890	Successfully loaded	1568m1	1568m1		Escherichia coli	1568m1			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016891	Successfully loaded	HP131	HP131		Escherichia coli	HP131			Wild Animal	2010	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016892	Successfully loaded	CE70N	CE70N		Escherichia coli	CE70N			Wild Animal	2012	United States	Isolate			Monika Dolejska				ST58												
SAMN19016893	Successfully loaded	12zCTX	12zCTX		Escherichia coli	12zCTX			Wild Animal	2010	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016894	Successfully loaded	1657m1	1657m1		Escherichia coli	1657m1			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016895	Successfully loaded	2063	2063		Escherichia coli	2063			Wild Animal	2012	Canada	Isolate			Monika Dolejska				ST58												
SAMN19016896	Successfully loaded	1605m1	1605m1		Escherichia coli	1605m1			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016897	Successfully loaded	HP149	HP149		Escherichia coli	HP149			Wild Animal	2010	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016898	Successfully loaded	HP71	HP71		Escherichia coli	HP71			Wild Animal	2010	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016899	Successfully loaded	HP40	HP40		Escherichia coli	HP40			Wild Animal	2010	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016900	Successfully loaded	CE1606	CE1606		Escherichia coli	CE1606			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016901	Successfully loaded	2078	2078		Escherichia coli	2078			Wild Animal	2012	Canada	Isolate			Monika Dolejska				ST58												
SAMN19016902	Successfully loaded	HPG79	HPG79		Escherichia coli	HPG79			Wild Animal	2010	Poland	Isolate			Monika Dolejska				ST58												
SAMN19016903	Successfully loaded	1680m1	1680m1		Escherichia coli	1680m1			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016904	Successfully loaded	CE1657	CE1657		Escherichia coli	CE1657			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016905	Successfully loaded	1553m1	1553m1		Escherichia coli	1553m1			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016906	Successfully loaded	HP150	HP150		Escherichia coli	HP150			Wild Animal	2010	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016907	Successfully loaded	2183	2183		Escherichia coli	2183			Wild Animal	2012	Canada	Isolate			Monika Dolejska				ST58												
SAMN19016908	Successfully loaded	HP144	HP144		Escherichia coli	HP144			Wild Animal	2010	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016909	Successfully loaded	2067	2067		Escherichia coli	2067			Wild Animal	2012	Canada	Isolate			Monika Dolejska				ST58												
SAMN19016910	Successfully loaded	4438	4438		Escherichia coli	4438			Wild Animal	2012	Canada	Isolate			Monika Dolejska				ST58												
SAMN19016911	Successfully loaded	HP90	HP90		Escherichia coli	HP90			Wild Animal	2010	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016912	Successfully loaded	CE145N	CE145N		Escherichia coli	CE145N			Wild Animal	2012	United States	Isolate			Monika Dolejska				ST58												
SAMN19016913	Successfully loaded	HP41	HP41		Escherichia coli	HP41			Wild Animal	2010	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016914	Successfully loaded	1560m1	1560m1		Escherichia coli	1560m1			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016915	Successfully loaded	CE1568	CE1568		Escherichia coli	CE1568			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016916	Successfully loaded	HPG4	HPG4		Escherichia coli	HPG4			Wild Animal	2010	Poland	Isolate			Monika Dolejska				ST58												
SAMN19016917	Successfully loaded	30CTX	30CTX		Escherichia coli	30CTX			Wild Animal	2010	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016918	Successfully loaded	1585m1	1585m1		Escherichia coli	1585m1			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016919	Successfully loaded	HPG98	HPG98		Escherichia coli	HPG98			Wild Animal	2010	Poland	Isolate			Monika Dolejska				ST58												
SAMN19016920	Successfully loaded	CE701N	CE701N		Escherichia coli	CE701N			Wild Animal	2012	United States	Isolate			Monika Dolejska				ST58												
SAMN19016921	Successfully loaded	CE91	CE91		Escherichia coli	CE91			Wild Animal	2012	United States	Isolate			Monika Dolejska				ST58												
